filepath,filename,label,manipulation_risk,screenshot_probability,metadata_trust_score,blockiness,crop_detected,resize_detected,watermark_detected,compression_status,ai_generation_probability,stego_suspicion
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,1,15,30,10,1.0405074395730014,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,1,15,30,10,1.1844760168110602,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CND_M_N_art00076_art00077_10289.tif,Tp_D_CND_M_N_art00076_art00077_10289.tif,1,35,20,15,1.1215183507586635,0,0,0,HEAVY,15,0
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CND_M_N_art00077_art00076_10290.tif,Tp_D_CND_M_N_art00077_art00076_10290.tif,1,35,20,15,1.0534010257586282,0,0,0,HEAVY,15,0
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CND_S_N_ani00073_ani00068_00193.tif,Tp_D_CND_S_N_ani00073_ani00068_00193.tif,1,35,20,15,1.1105148100913118,0,0,0,HEAVY,15,0
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CND_M_N_ani00018_sec00096_00138.tif,Tp_D_CND_M_N_ani00018_sec00096_00138.tif,1,35,20,15,1.0170481376824747,0,0,0,HEAVY,15,0
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CND_S_N_ind00078_ind00077_00476.tif,Tp_D_CND_S_N_ind00078_ind00077_00476.tif,1,10,20,15,1.1354823156709095,0,0,0,LOW,15,0
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,1,15,30,10,1.1553283705366542,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,1,15,30,10,1.169138006145586,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,1,10,20,15,1.0089062372437865,0,0,0,LOW,15,0
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,1,15,30,10,1.0290137523112586,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,1,15,30,10,1.0844125545423386,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,1,15,30,10,1.0636928650390791,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Tp\Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,1,15,30,10,1.0826409208793697,0,0,0,CLEAN,15,10
