filepath,filename,label,manipulation_risk,screenshot_probability,metadata_trust_score,blockiness,crop_detected,resize_detected,watermark_detected,compression_status,ai_generation_probability,stego_suspicion
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00008.jpg,Au_ani_00008.jpg,0,25,30,15,1.0602352112918414,0,0,0,CLEAN,15,30
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00002.jpg,Au_ani_00002.jpg,0,25,30,15,1.0763949312862642,0,0,0,LOW,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00003.jpg,Au_ani_00003.jpg,0,25,30,15,1.0205839817631275,0,0,0,CLEAN,15,30
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00005.jpg,Au_ani_00005.jpg,0,25,30,15,1.1748601685983107,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00004.jpg,Au_ani_00004.jpg,0,25,30,15,1.0235381748443833,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00007.jpg,Au_ani_00007.jpg,0,25,30,15,1.078978260784682,0,0,0,CLEAN,15,30
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00006.jpg,Au_ani_00006.jpg,0,25,30,15,0.9917753506260816,0,0,0,CLEAN,15,30
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00001.jpg,Au_ani_00001.jpg,0,25,30,15,1.0852984468717906,0,0,0,LOW,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00011.jpg,Au_ani_00011.jpg,0,25,30,15,1.0009327971982525,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00013.jpg,Au_ani_00013.jpg,0,25,30,15,1.0322162980530347,0,0,0,CLEAN,15,30
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00014.jpg,Au_ani_00014.jpg,0,25,30,15,0.9946330080733268,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00015.jpg,Au_ani_00015.jpg,0,25,30,15,1.0026090210910938,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00010.jpg,Au_ani_00010.jpg,0,25,30,15,1.1028306327661341,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00012.jpg,Au_ani_00012.jpg,0,25,30,15,1.0334378663663797,0,0,0,CLEAN,15,10
C:\Users\riya2\OneDrive\Desktop\TraceLens AI\dataset\CASIA2\Au\Au_ani_00016.jpg,Au_ani_00016.jpg,0,25,30,15,1.0412218462351737,0,0,0,CLEAN,15,10
