original,variant,type,phash_distance,dhash_distance,ahash_distance
building_001.jpg,building_001_compressed.jpg,compressed,0,0,0
building_001.jpg,building_001_crop.jpg,cropped,14,14,8
building_001.jpg,building_001_resize.jpg,resized,0,0,0
building_001.jpg,building_001_watermark.jpg,watermarked,0,0,0
building_002.jpg,building_002_compressed.jpg,compressed,0,6,0
building_002.jpg,building_002_crop.jpg,cropped,16,15,3
building_002.jpg,building_002_resize.jpg,resized,0,3,0
building_002.jpg,building_002_watermark.jpg,watermarked,0,1,0
building_003.jpg,building_003_compressed.jpg,compressed,0,0,0
building_003.jpg,building_003_crop.jpg,cropped,12,12,3
building_003.jpg,building_003_resize.jpg,resized,0,0,0
building_003.jpg,building_003_watermark.jpg,watermarked,0,0,0
building_004.jpg,building_004_compressed.jpg,compressed,0,0,0
building_004.jpg,building_004_crop.jpg,cropped,16,20,4
building_004.jpg,building_004_resize.jpg,resized,0,0,0
building_004.jpg,building_004_watermark.jpg,watermarked,0,0,0
building_005.jpg,building_005_compressed.jpg,compressed,0,0,0
building_005.jpg,building_005_crop.jpg,cropped,20,24,7
building_005.jpg,building_005_resize.jpg,resized,0,0,0
building_005.jpg,building_005_watermark.jpg,watermarked,0,0,0
building_006.jpg,building_006_compressed.jpg,compressed,0,1,0
building_006.jpg,building_006_crop.jpg,cropped,20,16,6
building_006.jpg,building_006_resize.jpg,resized,0,1,0
building_006.jpg,building_006_watermark.jpg,watermarked,2,0,0
building_007.jpg,building_007_compressed.jpg,compressed,0,0,0
building_007.jpg,building_007_crop.jpg,cropped,20,12,12
building_007.jpg,building_007_resize.jpg,resized,0,0,0
building_007.jpg,building_007_watermark.jpg,watermarked,0,0,0
building_008.jpg,building_008_compressed.jpg,compressed,0,1,0
building_008.jpg,building_008_crop.jpg,cropped,20,23,5
building_008.jpg,building_008_resize.jpg,resized,0,0,0
building_008.jpg,building_008_watermark.jpg,watermarked,0,0,0
building_009.jpg,building_009_compressed.jpg,compressed,0,1,0
building_009.jpg,building_009_crop.jpg,cropped,14,20,6
building_009.jpg,building_009_resize.jpg,resized,0,1,0
building_009.jpg,building_009_watermark.jpg,watermarked,0,1,0
building_010.jpg,building_010_compressed.jpg,compressed,0,3,0
building_010.jpg,building_010_crop.jpg,cropped,14,13,6
building_010.jpg,building_010_resize.jpg,resized,0,0,0
building_010.jpg,building_010_watermark.jpg,watermarked,0,0,0
human_001.jpg,human_001_compressed.jpg,compressed,0,0,0
human_001.jpg,human_001_crop.jpg,cropped,18,23,15
human_001.jpg,human_001_resize.jpg,resized,0,0,0
human_001.jpg,human_001_watermark.jpg,watermarked,0,0,0
human_002.jpg,human_002_compressed.jpg,compressed,2,1,0
human_002.jpg,human_002_crop.jpg,cropped,20,23,12
human_002.jpg,human_002_resize.jpg,resized,2,0,0
human_002.jpg,human_002_watermark.jpg,watermarked,0,0,0
human_003.jpg,human_003_compressed.jpg,compressed,0,0,1
human_003.jpg,human_003_crop.jpg,cropped,20,27,12
human_003.jpg,human_003_resize.jpg,resized,0,0,0
human_003.jpg,human_003_watermark.jpg,watermarked,0,0,0
human_004.jpg,human_004_compressed.jpg,compressed,0,0,0
human_004.jpg,human_004_crop.jpg,cropped,22,14,15
human_004.jpg,human_004_resize.jpg,resized,0,0,0
human_004.jpg,human_004_watermark.jpg,watermarked,0,0,0
human_005.jpg,human_005_compressed.jpg,compressed,0,0,0
human_005.jpg,human_005_crop.jpg,cropped,22,19,6
human_005.jpg,human_005_resize.jpg,resized,0,0,0
human_005.jpg,human_005_watermark.jpg,watermarked,0,0,0
human_006.jpg,human_006_compressed.jpg,compressed,0,1,0
human_006.jpg,human_006_crop.jpg,cropped,12,15,3
human_006.jpg,human_006_resize.jpg,resized,0,0,0
human_006.jpg,human_006_watermark.jpg,watermarked,2,0,0
human_007.jpg,human_007_compressed.jpg,compressed,0,2,0
human_007.jpg,human_007_crop.jpg,cropped,24,13,4
human_007.jpg,human_007_resize.jpg,resized,0,0,0
human_007.jpg,human_007_watermark.jpg,watermarked,2,0,0
human_008.jpg,human_008_compressed.jpg,compressed,4,1,0
human_008.jpg,human_008_crop.jpg,cropped,14,20,11
human_008.jpg,human_008_resize.jpg,resized,0,1,0
human_008.jpg,human_008_watermark.jpg,watermarked,0,1,0
human_009.jpg,human_009_compressed.jpg,compressed,0,0,0
human_009.jpg,human_009_crop.jpg,cropped,16,16,16
human_009.jpg,human_009_resize.jpg,resized,2,0,0
human_009.jpg,human_009_watermark.jpg,watermarked,0,0,1
human_010.jpg,human_010_compressed.jpg,compressed,0,4,0
human_010.jpg,human_010_crop.jpg,cropped,14,13,9
human_010.jpg,human_010_resize.jpg,resized,0,0,0
human_010.jpg,human_010_watermark.jpg,watermarked,0,0,0
human_011.jpg,human_011_compressed.jpg,compressed,0,0,0
human_011.jpg,human_011_crop.jpg,cropped,24,20,19
human_011.jpg,human_011_resize.jpg,resized,0,0,0
human_011.jpg,human_011_watermark.jpg,watermarked,0,0,0
human_012.jpg,human_012_compressed.jpg,compressed,0,0,0
human_012.jpg,human_012_crop.jpg,cropped,18,21,11
human_012.jpg,human_012_resize.jpg,resized,0,0,0
human_012.jpg,human_012_watermark.jpg,watermarked,2,1,0
nature_001.jpg,nature_001_compressed.jpg,compressed,0,1,1
nature_001.jpg,nature_001_crop.jpg,cropped,12,7,15
nature_001.jpg,nature_001_resize.jpg,resized,0,1,0
nature_001.jpg,nature_001_watermark.jpg,watermarked,2,1,1
nature_002.jpg,nature_002_compressed.jpg,compressed,4,0,0
nature_002.jpg,nature_002_crop.jpg,cropped,16,17,2
nature_002.jpg,nature_002_resize.jpg,resized,0,0,0
nature_002.jpg,nature_002_watermark.jpg,watermarked,2,0,0
nature_003.jpg,nature_003_compressed.jpg,compressed,0,0,0
nature_003.jpg,nature_003_crop.jpg,cropped,18,13,14
nature_003.jpg,nature_003_resize.jpg,resized,0,0,0
